,,Year of death registration [note 3],,,,,,,,,,,,,,,,,,,,
"Area code 
","Local Authority District 
",2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
E07000036,Erewash,17,11,10,10,7,9,8,12,11,11,7,6,12,7,3,4,10,6,10,6,7
E07000037,High Peak,11,9,12,9,4,6,8,7,4,7,7,4,7,1,4,10,8,6,11,11,8
E07000038,North East Derbyshire,12,10,13,6,10,4,11,8,7,7,6,6,3,4,4,8,4,4,2,11,3
E07000039,South Derbyshire,2,11,9,9,5,9,10,3,7,6,5,10,6,9,6,3,7,8,9,5,8
E07000129,Blaby,11,5,11,10,7,12,4,5,19,6,10,1,9,8,5,6,4,6,3,8,4
E07000130,Charnwood,16,11,14,10,5,11,8,12,14,10,17,7,9,8,6,14,10,14,4,13,11
E07000131,Harborough,10,5,5,9,11,7,10,8,5,5,9,17,8,7,4,5,8,5,7,10,2
E07000132,Hinckley and Bosworth,2,7,10,8,3,9,4,10,9,4,2,3,4,3,7,12,4,5,9,5,9
E07000133,Melton,6,4,2,5,2,7,4,3,7,9,4,3,1,0,2,5,2,4,3,2,8
E07000134,North West Leicestershire,14,11,11,4,5,8,10,8,7,12,10,2,4,3,5,8,7,10,6,4,10
E07000135,Oadby and Wigston,3,4,2,8,2,8,6,7,4,4,2,6,9,2,1,4,1,4,4,6,1
E07000136,Boston,7,10,8,4,1,7,7,7,10,6,4,6,3,2,7,5,5,7,12,5,13
E07000137,East Lindsey,21,18,15,19,14,13,16,16,9,15,9,17,27,16,10,18,19,12,14,12,10
E07000138,Lincoln,13,17,12,20,7,12,13,11,11,14,8,12,14,13,12,11,10,9,13,11,12
E07000139,North Kesteven,13,11,11,6,9,7,9,8,10,12,16,7,13,10,8,13,6,6,6,9,13
E07000140,South Holland,12,7,12,8,13,7,7,8,8,8,7,2,9,5,7,5,7,7,9,8,9
E07000141,South Kesteven,9,13,9,15,11,6,11,10,4,16,7,8,12,8,12,13,14,7,9,11,7
E07000142,West Lindsey,4,13,7,15,8,6,11,7,8,8,10,5,12,7,9,3,12,5,7,7,9
E07000170,Ashfield,11,6,15,3,9,9,9,11,8,10,8,13,6,6,9,4,16,16,9,15,14
E07000171,Bassetlaw,15,14,18,12,20,6,11,17,15,9,13,8,9,9,3,10,10,16,5,8,16
E07000172,Broxtowe,15,10,7,7,8,6,6,11,6,12,7,7,3,14,6,11,7,9,7,8,8
E07000173,Gedling,10,6,10,4,8,8,4,12,9,7,6,8,5,15,13,7,7,12,4,6,11
E07000174,Mansfield,15,8,7,3,10,9,6,9,13,18,6,9,9,5,6,9,9,14,8,10,9
E07000175,Newark and Sherwood,11,11,13,11,9,2,7,9,10,5,12,9,8,12,14,11,11,14,12,12,9
E07000176,Rushcliffe,8,6,10,7,8,6,7,11,9,8,9,7,2,5,7,7,7,12,5,5,3
E07000192,Cannock Chase,9,11,15,15,5,8,8,8,4,8,17,7,13,13,6,9,5,12,13,8,4
E07000193,East Staffordshire,18,18,15,10,9,10,8,10,12,6,9,3,16,9,5,4,5,3,10,9,13
E07000194,Lichfield,11,9,14,10,8,8,7,11,8,9,11,4,8,9,5,1,5,1,12,4,11
E07000195,Newcastle-under-Lyme,17,8,14,15,7,8,14,9,15,12,13,14,8,7,9,6,11,8,12,14,12
E07000196,South Staffordshire,11,10,11,10,12,6,11,8,8,13,6,6,17,9,6,8,1,3,9,7,7
E07000197,Stafford,8,19,11,16,21,19,17,15,19,12,13,7,11,15,10,12,16,11,17,14,9
E07000198,Staffordshire Moorlands,9,8,9,13,5,4,6,9,11,7,7,10,7,10,4,8,5,9,7,10,9
E07000199,Tamworth,4,8,10,4,7,10,7,11,4,4,7,8,8,7,7,2,2,9,3,4,8
E07000218,North Warwickshire,7,7,7,5,5,12,4,7,4,4,5,5,2,4,7,1,1,4,3,4,2
E07000219,Nuneaton and Bedworth,18,10,13,8,16,12,19,16,10,11,13,10,11,11,9,4,6,6,6,10,18
E07000220,Rugby,12,10,10,5,8,8,11,5,8,8,6,10,6,4,2,9,5,8,15,7,10
E07000221,Stratford-on-Avon,20,10,7,15,13,10,13,16,8,12,7,12,12,12,10,8,3,11,6,5,17
E07000222,Warwick,19,13,9,12,10,13,15,21,18,22,15,16,10,18,9,12,8,19,8,14,13
E08000025,Birmingham,84,71,88,74,74,70,61,138,77,57,54,64,68,73,62,71,79,73,73,90,109
E08000026,Coventry,24,31,34,29,36,13,27,28,28,27,35,27,41,30,22,26,36,29,19,21,29
E08000027,Dudley ,25,37,24,33,30,17,30,31,20,11,21,29,15,25,16,19,20,32,24,18,32
E08000028,Sandwell ,27,34,32,31,26,31,29,28,25,17,25,22,23,28,22,27,14,25,28,32,21
E08000029,Solihull,18,23,18,30,26,12,14,29,7,9,12,10,8,12,11,12,11,14,10,13,13
E08000030,Walsall,16,24,25,19,21,19,25,28,19,19,12,14,20,17,18,17,22,30,14,20,22
E08000031,Wolverhampton,15,17,21,15,25,20,21,25,20,19,24,13,16,31,15,27,35,30,33,28,19
E07000234,Bromsgrove,10,5,5,6,8,8,9,9,7,7,6,6,8,5,3,4,12,5,5,4,8
E07000235,Malvern Hills,13,5,8,6,4,10,4,6,8,3,7,11,8,8,6,5,6,5,7,4,7
E07000236,Redditch,14,9,10,7,10,9,7,12,8,16,9,5,12,11,8,12,9,9,5,6,12
E07000237,Worcester,11,14,6,13,9,9,12,6,7,18,8,10,4,8,9,6,5,6,11,5,6
E07000238,Wychavon,18,17,13,18,14,13,12,9,11,9,9,11,10,8,8,10,16,13,14,8,4
E07000239,Wyre Forest,14,5,9,8,10,10,7,10,8,5,7,7,8,9,7,9,7,10,19,11,14
E07000008,Cambridge,16,7,19,8,11,9,7,10,9,14,8,11,10,12,15,18,6,15,12,15,13
E07000009,East Cambridgeshire,9,7,11,7,5,1,6,4,6,7,5,4,5,6,9,4,5,2,6,4,4
E07000010,Fenland,11,13,10,14,8,6,11,13,8,10,5,10,11,16,12,7,8,4,7,12,6
E07000011,Huntingdonshire,9,13,12,20,7,8,12,14,16,10,14,8,12,9,11,15,14,8,6,9,9
E07000012,South Cambridgeshire,13,9,21,17,8,21,12,10,17,5,11,5,12,14,7,5,8,15,14,16,6
E07000066,Basildon,10,18,18,24,13,16,18,11,10,17,15,9,12,13,11,17,5,10,15,13,13
E07000067,Braintree,8,18,22,14,14,10,20,17,13,16,16,13,6,9,9,14,13,9,10,9,13
E07000068,Brentwood,6,10,14,8,7,4,5,7,7,6,8,5,5,4,5,8,3,7,3,5,3
E07000069,Castle Point,3,7,6,6,5,7,7,8,6,5,2,0,9,9,4,5,2,2,7,6,2
E07000070,Chelmsford,9,15,20,22,26,11,17,9,11,10,16,9,16,10,13,15,13,10,6,7,7
E07000071,Colchester,14,18,44,20,30,17,18,21,22,16,22,13,14,16,11,15,17,15,15,11,10
E07000072,Epping Forest,12,13,5,8,5,10,3,12,6,12,15,13,4,9,8,19,9,7,10,8,17
E07000073,Harlow,6,8,8,21,11,15,7,11,6,12,13,19,3,4,5,5,10,10,9,5,8
E07000074,Maldon,6,5,6,10,7,14,5,6,6,4,10,4,4,6,4,5,3,5,3,2,6
E07000075,Rochford,5,5,6,8,4,7,8,8,7,3,3,6,9,7,7,2,5,3,4,6,8
E07000076,Tendring,12,9,27,20,20,18,22,20,17,13,23,14,3,9,13,11,22,12,10,12,13
E07000077,Uttlesford,5,11,9,6,7,5,5,11,7,7,7,9,7,9,2,4,10,6,7,7,2
E07000095,Broxbourne,6,4,6,13,5,3,11,4,3,5,7,7,5,4,5,3,7,4,7,1,7
E07000096,Dacorum,8,9,17,10,9,10,12,7,12,13,9,9,11,13,6,7,11,5,9,15,10
E07000242,East Hertfordshire,10,10,13,9,11,5,5,11,5,8,11,7,5,5,14,4,6,8,9,2,11
E07000098,Hertsmere,5,11,15,8,10,5,7,6,3,10,4,4,6,9,5,7,7,5,13,8,3
E07000099,North Hertfordshire,7,6,11,10,11,9,4,12,4,6,5,11,8,15,9,4,9,8,5,11,13
E07000240,St Albans,7,10,13,14,6,8,8,11,7,4,10,4,11,3,10,9,13,11,14,13,3
E07000243,Stevenage,3,7,11,8,3,5,4,2,1,4,2,5,5,8,5,4,6,8,10,9,3
E07000102,Three Rivers,3,8,5,8,6,7,4,5,6,4,7,6,6,1,3,3,5,7,5,4,5
E07000103,Watford,2,3,5,12,6,8,6,4,7,2,5,3,5,9,6,10,7,3,11,4,6
E07000241,Welwyn Hatfield,5,9,9,10,9,4,13,9,4,15,4,6,8,7,6,6,9,6,12,8,9
E07000143,Breckland,13,12,15,20,11,11,13,8,6,18,10,6,8,7,11,16,10,12,14,14,13
E07000144,Broadland,11,9,8,13,11,19,8,11,18,7,4,3,10,14,3,6,12,15,8,9,6
E07000145,Great Yarmouth,12,10,4,9,6,9,13,17,16,5,10,9,16,5,1,2,8,10,5,6,6
E07000146,King’s Lynn and West Norfolk,10,13,22,20,7,10,15,30,9,12,16,14,5,18,9,16,14,17,15,12,19
E07000147,North Norfolk,17,14,13,12,9,14,9,12,8,3,7,4,5,8,3,6,8,9,11,10,10
E07000148,Norwich,13,13,20,22,17,20,16,19,24,10,16,16,13,16,13,12,13,15,14,11,12
E07000149,South Norfolk,15,5,7,12,7,11,15,15,8,9,10,12,8,12,12,8,9,13,6,12,9
E07000200,Babergh,4,8,9,6,11,9,4,8,6,3,9,6,6,9,5,7,7,7,6,9,5
E07000244,East Suffolk,21,34,22,19,22,21,19,24,18,15,19,14,20,25,31,22,17,27,19,22,22
